Filename,Drug,Results,MIC
01-DR0053-DR0053-1-14-6CYMKU,CFZ,"growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,LZD,"growth, growth, -none-, -none-, -none-, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,DLM,"growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,MXF,"growth, growth, -none-, -none-, -none-, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,LEV,"growth, -none-, -none-, -none-, -none-, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,AMI,"-none-, -none-, -none-, -none-, -none-, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,KAN,"-none-, -none-, -none-, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,RIF,"growth, growth, growth, growth, growth, growth, growth, growth, growth",N/A
01-DR0053-DR0053-1-14-6CYMKU,EMB,"growth, growth, growth, growth, growth, growth, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,BDQ,"growth, growth, growth, -none-, -none-, -none-, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,RFB,"growth, growth, growth, growth, growth, growth",N/A
01-DR0053-DR0053-1-14-6CYMKU,ETH,"growth, growth, -none-, -none-, -none-, -none-",N/A
01-DR0053-DR0053-1-14-6CYMKU,INH,"growth, growth, growth, growth, growth, growth, growth, -none-, -none-, -none-",N/A
